time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,temp_lid,temp_well
14:11:00,25,27,6,4,4,12,18,26,21,17,12,23,29,11,12,19,98,67.36
14:11:30,25,27,5,4,3,13,18,26,20,16,12,24,29,11,12,20,98.9,63.96
14:12:01,25,28,5,4,3,12,18,27,21,17,12,23,28,11,12,20,98.9,60.26
14:12:29,20,23,3,2,2,10,14,22,16,13,8,19,24,7,9,16,98.5,59.85
14:13:00,24,27,5,4,3,12,18,25,20,17,12,23,28,11,11,19,98.4,61.16
14:13:30,24,27,5,4,3,12,17,25,20,16,11,23,28,11,11,19,98.7,61.06
