time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,temp_lid,temp_well
10:47:11,24,19,6,2,1,2,15,27,25,14,11,164,47,14,16,16,99.7,62.66
10:47:41,25,20,6,2,1,2,15,26,25,14,11,168,47,13,16,17,99.5,62.66
10:48:12,24,19,6,2,2,2,15,27,24,14,11,172,48,13,15,16,99.4,62.56
10:48:40,23,20,5,2,2,2,16,27,24,15,11,175,47,13,15,17,99.5,62.66
10:49:11,24,20,5,2,2,2,16,27,24,14,12,177,47,14,15,17,99.5,62.66
10:49:41,25,20,5,2,1,2,15,26,24,14,11,180,47,13,15,17,99.3,62.66
10:50:12,25,20,6,2,1,2,16,27,24,14,11,181,47,13,15,17,99.5,62.56
10:50:40,25,20,6,2,1,2,16,26,24,14,12,183,47,13,15,17,99.6,62.56
10:51:11,24,20,6,2,1,3,16,27,24,14,11,185,47,13,15,17,99.5,62.56
10:51:41,24,20,5,2,1,2,16,26,23,14,11,185,48,14,15,17,99.4,62.56
10:52:12,24,20,6,2,1,2,16,26,24,15,11,186,47,13,15,17,99.5,62.56
10:52:40,24,20,6,2,1,3,16,27,24,14,11,187,48,13,15,16,99.6,62.66
10:53:10,24,20,5,2,1,2,16,26,24,14,11,185,47,13,15,16,99.5,62.66
10:53:41,25,21,6,2,1,2,17,27,25,16,12,189,50,15,16,17,99.6,62.66
10:54:11,24,20,6,2,1,2,16,26,24,14,11,186,47,13,15,17,99.5,62.66
10:54:42,24,19,6,2,1,2,15,27,24,14,11,191,48,13,16,17,99.6,62.66
10:55:10,26,21,6,3,2,2,17,29,25,15,12,191,49,15,17,18,99.4,62.56
10:55:41,24,19,6,2,1,2,15,26,24,14,12,187,47,13,15,16,99.6,62.66
10:56:11,24,20,6,2,2,2,16,27,23,14,11,192,48,13,15,17,99.6,62.66
10:56:42,25,21,6,2,1,3,17,27,25,15,13,193,49,14,17,18,99.5,62.66
10:57:10,24,20,6,2,2,2,16,26,24,14,12,192,49,13,15,17,99.5,62.66
10:57:40,24,20,6,2,2,2,16,26,23,14,12,193,49,13,15,17,99.7,62.66
